Country or Area,Year,Value
Afghanistan,2011,46.99005082
Albania,2011,98.79119016
Albania,2008,98.83120696
Albania,2001,99.43515144
Algeria,2006,91.77964052
Algeria,2002,90.13720962
Angola,2012,73.00776
Angola,2001,72.19449066
Argentina,2012,99.23841
Argentina,2001,98.9166583
Argentina,1991,98.3046407
Armenia,2001,99.80728398
Aruba,2010,99.13841245
Aruba,2000,99.02641305
Azerbaijan,2012,99.93674889
Azerbaijan,2011,99.94410285
Azerbaijan,2010,99.95059831
Azerbaijan,2009,99.95129607
Azerbaijan,2007,100
Azerbaijan,1999,99.88609668
Bahrain,2010,98.16359609
Bahrain,2001,97.0247105
Bahrain,1991,96.9381052
Bangladesh,2012,79.93943
Bangladesh,2001,63.6227346
Bangladesh,1991,44.68082553
Belarus,2009,99.82321348
Belarus,1999,99.7918421
Belize,1991,76.42047559
Benin,2006,42.36270388
Benin,2002,45.3096249
Benin,1992,39.87661252
Bhutan,2005,74.40520688
Bolivia,2012,98.99588481
Bolivia,2011,99.00752061
Bolivia,2009,99.38397402
Bolivia,2008,99.12249885
Bolivia,2007,99.44135796
Bolivia,2001,97.32378032
Bolivia,1992,93.89611262
Bosnia and Herzegovina,2012,99.68309
Bosnia and Herzegovina,2000,99.79393031
Botswana,2012,96.0374
Botswana,2003,93.95744104
Botswana,1991,89.25829854
Brazil,2012,98.61661576
Brazil,2011,98.48691768
Brazil,2010,97.51412486
Brazil,2009,98.06553602
Brazil,2008,97.84362979
Brazil,2007,97.80063012
Brazil,2006,97.58229825
Brazil,2004,96.84385989
Brazil,2000,94.18411488
Brunei Darussalam,2012,99.78067
Brunei Darussalam,2001,98.89378705
Brunei Darussalam,1991,98.09566621
Bulgaria,2011,97.86505416
Bulgaria,2001,98.21247652
Burkina Faso,2007,39.25778015
Burkina Faso,2006,32.73060136
Burkina Faso,2005,32.96661842
Burkina Faso,2003,31.22926016
Burkina Faso,1996,19.41415165
Burkina Faso,1991,20.18028878
Burundi,2008,88.88636685
Burundi,2000,73.33005894
Burundi,1990,53.55520606
Cambodia,2009,87.13245796
Cambodia,2008,87.47137741
Cambodia,2004,83.38286475
Cambodia,1998,76.31820677
Cameroon,2010,80.57444119
Cameroon,2007,83.13557329
Cameroon,2000,83.09828596
Cape Verde,2012,98.12896699
Cape Verde,2004,97.11496
Cape Verde,1990,88.16790464
Cayman Islands,2007,98.90681936
Central African Republic,2010,36.35626981
Central African Republic,2000,60.80705009
Chad,2012,48.92033
Chad,2004,41.67312161
Chad,2000,37.55735313
Chad,1993,17.34737807
Chile,2009,98.87237876
Chile,2008,99.15357953
Chile,2002,98.9909793
Chile,1992,98.42796705
China,2010,99.64229029
China,2000,98.85873002
China,1990,94.28147318
"China, Macao Special Administrative Region",2006,99.64424286
"China, Macao Special Administrative Region",2001,99.63354171
Colombia,2011,98.2393694
Colombia,2010,98.09841843
Colombia,2009,97.93743116
Colombia,2008,97.9892699
Colombia,2007,97.96862807
Colombia,2006,97.88317301
Colombia,2005,97.95840219
Colombia,2004,97.99131022
Colombia,1996,96.99500213
Colombia,1993,90.52465124
Comoros,2012,86.41433
Comoros,2000,80.18575851
Congo,2011,80.9139517
Costa Rica,2011,99.13370342
Costa Rica,2000,97.61469588
Cote d'Ivoire,2012,48.30995824
Cote d'Ivoire,2000,60.72365445
Cote d'Ivoire,1998,47.05871294
Croatia,2011,99.72362529
Croatia,2001,99.64864153
Croatia,1991,99.6358923
Cuba,2012,99.98633
Cuba,2002,99.95560368
Cyprus,2011,99.82098607
Cyprus,2001,99.77493173
Cyprus,1992,99.62139416
Democratic Republic of the Congo,2007,65.77652815
Democratic Republic of the Congo,2001,70.41626331
Dominican Republic,2013,97.47243226
Dominican Republic,2012,97.02388664
Dominican Republic,2011,97.04190633
Dominican Republic,2010,96.80575124
Dominican Republic,2007,95.78686486
Dominican Republic,2002,94.21757209
Ecuador,2013,98.604636
Ecuador,2012,98.83163355
Ecuador,2011,98.69484109
Ecuador,2010,98.65270573
Ecuador,2009,96.83109757
Ecuador,2007,95.42796889
Ecuador,2001,96.43720634
Ecuador,1990,96.19470696
Egypt,2012,89.28192062
Egypt,2010,87.50963615
Egypt,2006,84.87827418
Egypt,2005,84.93290019
Egypt,1996,73.21868907
El Salvador,2011,96.54508826
El Salvador,2010,96.03445538
El Salvador,2009,95.02206315
El Salvador,2008,95.9574739
El Salvador,2007,93.56493887
El Salvador,2006,94.95099085
El Salvador,2004,92.19867
El Salvador,1992,84.9466353
Equatorial Guinea,2012,98.11403
Equatorial Guinea,2000,97.13136729
Eritrea,2012,90.95256
Eritrea,2002,77.94529457
Estonia,2011,99.9489011
Estonia,2000,99.77050199
Ethiopia,2007,54.98297726
Ethiopia,2005,44.60596569
Ethiopia,2004,49.9
Ethiopia,1994,33.58540083
Gabon,2012,88.50414277
Gabon,2004,90.85642916
Gabon,1993,93.20871556
Gambia,2012,69.43474
Gambia,2000,52.55501678
Georgia,2012,99.80049
Georgia,2002,99.82541568
Ghana,2010,85.71614763
Ghana,2000,70.66306259
Greece,2012,99.3781
Greece,2001,98.94053484
Greece,1991,98.9839877
Guadeloupe,2012,99.93491
Guadeloupe,2004,99.85111
Guadeloupe,1994,99.55211
Guatemala,2012,93.6534708
Guatemala,2002,82.22026233
Guatemala,1994,75.9882058
Guinea,2010,31.40641688
Guinea,2003,47.09125999
Guinea,1996,27.71638722
Guinea-Bissau,2012,74.27579
Guinea-Bissau,2000,59.49284785
Guyana,2009,93.0989419
Haiti,2006,72.34671832
Haiti,2003,81.61632782
Honduras,2012,94.98095416
Honduras,2011,95.92500277
Honduras,2010,95.15069129
Honduras,2007,93.92430566
Honduras,2001,88.94272181
Hungary,2012,99.38648
Hungary,2004,99.00204
Hungary,1994,99.14558
India,2006,81.13085969
India,2001,76.42570386
India,1991,61.90028218
Indonesia,2011,98.77800124
Indonesia,2009,99.47374386
Indonesia,2008,99.46010544
Indonesia,2006,96.65104033
Indonesia,2004,98.7054552
Indonesia,1990,96.207558
Iran (Islamic Republic of),2012,98.03424627
Iran (Islamic Republic of),2008,98.65569605
Iran (Islamic Republic of),2006,96.64370922
Iran (Islamic Republic of),2005,97.43152539
Iran (Islamic Republic of),2002,93.02830461
Iran (Islamic Republic of),1996,93.02830461
Iran (Islamic Republic of),1991,86.9742647
Iraq,2012,82.15785
Iraq,2000,84.79680343
Israel,2011,99.54979369
Italy,2012,99.91783
Italy,2001,99.81213151
Jamaica,2012,95.87227
Jamaica,1999,91.60341038
Jordan,2012,99.10572011
Jordan,2011,99.14868452
Jordan,2010,98.7623532
Jordan,2007,98.94934334
Jordan,2005,98.9753875
Jordan,2003,99.13258814
Kazakhstan,2009,99.8345124
Kazakhstan,1999,99.84513456
Kenya,2007,82.39047231
Kenya,2000,92.52817587
"Korea, Democratic People's Republic of",2008,99.99969181
Kuwait,2012,98.78226205
Kuwait,2008,98.64335095
Kuwait,2007,98.44722863
Kuwait,2006,98.51216654
Kuwait,2005,99.73336417
Kuwait,1995,92.04306281
Kyrgyzstan,2009,99.75185022
Kyrgyzstan,1999,99.69562703
Lao People's Democratic Republic,2005,83.93106284
Lao People's Democratic Republic,2001,78.45798513
Lao People's Democratic Republic,2000,80.59855521
Lao People's Democratic Republic,1995,71.13363331
Latvia,2011,99.83543131
Latvia,2000,99.7502644
Lebanon,2007,98.71478885
Lesotho,2009,83.19441043
Lesotho,2000,90.92690279
Liberia,2007,49.0741093
Liberia,2004,49.15212
Liberia,1994,59.98444
Libyan Arab Jamahiriya,2012,99.91581
Libyan Arab Jamahiriya,2004,99.64939
Libyan Arab Jamahiriya,1994,89.3379
Lithuania,2011,99.85580122
Lithuania,2001,99.70166645
Madagascar,2009,64.94024867
Madagascar,2000,70.23622047
Malawi,2010,72.13956438
Malawi,1998,76.00750074
Malaysia,2010,98.41871381
Malaysia,2000,97.23780152
Malaysia,1991,95.56388111
Maldives,2006,99.30100661
Maldives,2000,98.1701231
Maldives,1995,98.1701231
Mali,2011,47.13697999
Mali,2010,44.30170934
Mali,2006,38.81612057
Mali,2003,30.54688
Mali,1998,24.18666567
Malta,2005,98.26503038
Malta,1995,96.03227491
Martinique,2012,99.8789
Martinique,2004,99.52312
Martinique,1994,99.53008
Mauritania,2007,56.12243472
Mauritania,2000,61.33664597
Mauritius,2011,98.13035494
Mauritius,2000,94.538963
Mauritius,1990,91.19199263
Mexico,2012,98.8754158
Mexico,2011,98.46177252
Mexico,2010,98.43451907
Mexico,2009,98.52466089
Mexico,2008,98.38230253
Mexico,2007,98.15608978
Mexico,2006,97.89565916
Mexico,2005,97.63584268
Mexico,2004,97.56444051
Mexico,2002,97.60458343
Mexico,2000,96.61227886
Mexico,1990,95.41824321
Mongolia,2010,98.46024575
Mongolia,2000,97.71011943
Montenegro,2011,99.21181926
Morocco,2011,81.51006786
Morocco,2009,79.47369168
Morocco,2008,77.86296264
Morocco,2004,70.45759285
Morocco,1994,58.43488808
Mozambique,2009,67.1496373
Mozambique,2003,61.8928892
Mozambique,1997,46.96999986
Myanmar,2012,96.02813
Myanmar,2000,94.58631256
Namibia,2007,87.09541209
Namibia,2001,92.33671412
Namibia,1991,88.11243109
Nepal,2011,82.35368674
Nepal,2001,70.05362258
Nepal,1991,49.60371784
Netherlands Antilles,1992,96.98057948
New Caledonia,2012,99.64012
New Caledonia,1996,99.09460587
Nicaragua,2005,87.00925049
Nicaragua,2001,86.22251839
Niger,2012,23.52377795
Niger,2005,36.54677919
Niger,2001,19.7911938
Nigeria,2008,66.38354494
Nigeria,2003,68.99377751
Nigeria,1991,71.18906417
Oman,2010,97.74372549
Oman,2008,97.62982154
Oman,2003,97.28133003
Pakistan,2011,70.76932626
Pakistan,2010,71.25962255
Pakistan,2009,70.6762715
Pakistan,2008,71.11291
Pakistan,2006,69.16579926
Pakistan,2005,65.08658143
Pakistan,1998,55.33052152
Palau,2013,99.8114732
Panama,2010,97.63853103
Panama,2000,96.0798492
Panama,1990,95.08677878
Papua New Guinea,2012,71.19374
Papua New Guinea,2000,66.67899393
Paraguay,2010,98.61044862
Paraguay,2009,98.49728967
Paraguay,2008,97.96423722
Paraguay,2007,98.79446127
Paraguay,1992,95.60733912
Peru,2012,98.69816345
Peru,2007,97.35621617
Peru,2006,97.75712578
Peru,2005,97.12375985
Peru,2004,96.75562539
Peru,1993,95.36663106
Philippines,2008,97.75079836
Philippines,2003,95.0572109
Philippines,2000,95.08974816
Philippines,1990,96.57808187
Poland,2012,99.99996
Poland,2004,99.99986
Poland,1994,99.9992
Portugal,2011,99.4351159
Portugal,1991,99.19948525
Puerto Rico,2010,98.83417812
Puerto Rico,2004,88.69657
Puerto Rico,1990,93.16687946
Qatar,2012,99.0645734
Qatar,2011,97.87751166
Qatar,2010,96.82016024
Qatar,2009,97.75925383
Qatar,2008,95.68698817
Qatar,2007,99.06010284
Qatar,2004,95.92071385
Qatar,1997,94.79075046
Republic of Moldova,2012,100
Republic of Moldova,2000,99.52507599
Reunion,2012,99.78294
Reunion,2004,98.66419
Reunion,1994,98.65142
Romania,2011,98.99568738
Romania,2002,97.76148778
Romania,1992,99.10746203
Russian Federation,2010,99.70960245
Russian Federation,2002,99.72460028
Rwanda,2010,77.34462673
Rwanda,2000,77.62033288
Rwanda,1991,74.89654159
Samoa,2012,99.52692
Samoa,2004,99.38381
Samoa,1991,99.04444444
Sao Tome and Principe,2008,80.20315973
Sao Tome and Principe,2001,95.41546379
Sao Tome and Principe,1991,93.84996024
Saudi Arabia,2013,99.22176778
Saudi Arabia,2004,95.8496913
Saudi Arabia,2000,95.91315882
Saudi Arabia,1992,87.85560753
Senegal,2011,66.03273952
Senegal,2009,65.01490579
Senegal,2006,50.85165661
Senegal,2002,49.12449012
Serbia,2012,99.26009
Seychelles,2012,99.06477312
Seychelles,2002,99.06477312
Seychelles,1994,98.81331404
Sierra Leone,2012,62.71661
Sierra Leone,2004,47.92760841
Singapore,2012,99.84585742
Singapore,2011,99.82384028
Singapore,2010,99.75182479
Singapore,2000,99.50459911
Singapore,1990,98.96670215
Slovenia,2012,99.85276
Slovenia,2004,99.82676
Slovenia,1991,99.75773666
Solomon Islands,1999,85
South Africa,2012,98.88204097
South Africa,2011,98.78965515
South Africa,2010,98.64412819
South Africa,2009,98.36508535
South Africa,2007,97.57077506
South Africa,1996,93.90514991
Spain,2012,99.67277802
Spain,2011,99.69939644
Spain,2010,99.59463173
Spain,2009,99.59900196
Spain,2008,99.56430812
Spain,2007,99.56933678
Spain,2005,99.53779475
Spain,1991,99.55456116
Sri Lanka,2010,98.1579253
Sri Lanka,2008,97.98180225
Sri Lanka,2006,97.48406367
Sri Lanka,2001,95.58863269
State of Palestine,2012,99.28732634
State of Palestine,2011,99.31232155
State of Palestine,2010,99.24203742
State of Palestine,2009,99.23325596
State of Palestine,2008,99.15021997
State of Palestine,2007,99.06205698
State of Palestine,2006,99.09138168
State of Palestine,2004,98.9418193
State of Palestine,1997,97.04654378
Sudan,2012,87.91188
Sudan,2000,78.15558788
Sudan (former),2000,78.15558788
Suriname,2010,98.37664295
Suriname,2008,99.41641892
Suriname,2004,94.88114062
Swaziland,2010,93.50229982
Swaziland,2000,91.86324465
Syrian Arab Republic,2012,95.56499
Syrian Arab Republic,2004,92.45381179
Syrian Arab Republic,2002,95.18883216
Tajikistan,2012,99.87011
Tajikistan,2000,99.84706266
Thailand,2010,96.59757476
Thailand,2005,98.05091408
Thailand,2000,97.97538629
The former Yugoslav Republic of Macedonia,2012,98.64628
The former Yugoslav Republic of Macedonia,2002,98.74269551
The former Yugoslav Republic of Macedonia,1994,98.86116509
Timor-Leste,2010,79.52868353
Togo,2011,79.88590713
Togo,2009,81.7359871
Togo,2006,76.45293697
Togo,2000,74.43957115
Tonga,2011,99.43703086
Tonga,2006,99.42475603
Tonga,1996,99.30874387
Trinidad and Tobago,2012,99.57905
Trinidad and Tobago,2004,99.49116
Trinidad and Tobago,1990,99.3
Tunisia,2011,97.3044449
Tunisia,2010,97.17172315
Tunisia,2008,96.79425729
Tunisia,2007,96.29968896
Tunisia,2004,94.33898305
Tunisia,1994,82.84604
Turkey,2012,99.01601967
Turkey,2011,98.70935365
Turkey,2010,98.22458535
Turkey,2009,97.8074689
Turkey,2007,96.36234584
Turkey,2006,96.1815026
Turkey,2005,96.11855461
Turkey,2004,95.60349759
Turkey,1990,92.54366013
Turkmenistan,2012,99.83275
Turkmenistan,1995,99.81041992
Uganda,2010,87.40882894
Uganda,2006,84.06564795
Uganda,2002,80.79115687
Uganda,1991,69.80078724
Ukraine,2012,99.77241
Ukraine,2001,99.80485515
United Arab Emirates,2005,95.00645109
United Republic of Tanzania,2010,74.56052051
United Republic of Tanzania,2002,78.39604805
Uruguay,2012,98.95525252
Uruguay,2011,98.86221742
Uruguay,2010,98.78419453
Uruguay,2009,99.04942966
Uruguay,2008,98.96814223
Uruguay,2007,98.75914247
Uruguay,2006,98.7125202
Uruguay,1996,98.58023982
Uzbekistan,2012,99.94198
Uzbekistan,2000,99.87434931
Vanuatu,2012,94.88041
Vanuatu,2004,91.98842
Vanuatu,1994,86.2521
Venezuela,2009,98.53329802
Venezuela,2007,98.39878037
Venezuela,2001,97.19933572
Venezuela,1990,95.43902998
Viet Nam,2009,97.09167345
Viet Nam,2000,94.83651428
Viet Nam,1999,93.88233453
Yemen,2012,87.41462
Yemen,2004,76.9273
Yemen,1994,60.22214372
Zambia,2007,64.04963723
Zambia,2002,69.088812
Zambia,1999,69.45722211
Zambia,1990,66.38115566
Zimbabwe,2011,90.93070187
Zimbabwe,1992,95.41135812
